Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Label(Ultra),Label(Damage),Label(Distance)
0,0.44,26,10,1,5,9999.900391,-16199.56934,-577.3170612,1,0,1
0,0.44,26,10,1,5,9999.900391,-13797.14453,-668.7391381,1,0,1
0,0.46,49,2,0,4,9999.900391,-1161.078201,-474.9931635,1,1,1
0,0.46,49,2,0,4,9999.900391,-2238.018753,-476.5080267,1,1,1
0,0.46,49,2,0,4,9999.900391,-28746.50977,-570.8584552,1,0,1
0,0.46,49,2,0,4,9999.900391,-1181.59787,-476.8359435,1,1,1
0,0.46,49,2,0,4,9999.900391,-1161.849625,-475.2226318,1,1,1
0,0.46,49,2,0,4,9999.900391,-15090.74707,-518.2009881,1,0,1
0,0.46,49,2,0,4,9999.900391,-11925.48389,-519.301029,1,0,1
0,0.46,49,2,0,4,9999.900391,-1166.187668,-475.4727119,1,1,1
0,0.46,49,2,0,4,9999.900391,-2243.132706,-477.481368,1,1,1
0,0.46,49,2,0,4,9999.900391,-2317.964722,-477.5334346,1,1,1
0,0.51,20,7,1,4,9999.900391,-13499.10547,-650.9792895,1,0,1
0,0.51,20,7,1,4,4.517493725,-2501.725586,-802.7242715,0,1,0
0,0.51,20,7,1,4,3.038333654,-13053.69385,-577.1972917,0,0,1
0,0.51,20,7,1,4,9999.900391,-13478.25879,-681.7070864,1,0,1
0,0.51,20,7,1,4,9999.900391,-12415.33643,-648.4507885,1,0,1
0,0.51,20,7,1,4,9999.900391,-13279.39111,-633.1215138,1,0,1
0,0.51,20,7,1,4,9999.900391,-12586.8916,-666.1838616,1,0,1
0,0.51,20,7,1,4,9999.900391,-12560.59399,-603.8251958,1,0,1
0,0.51,20,7,1,4,2.229876518,-13202.46582,-629.6002609,0,0,1
0,0.51,20,7,1,4,3.19940424,-13696.89404,-650.1779009,0,0,1
0,0.56,30,4,0,6,4.907334328,-16183.78906,-671.7203595,0,0,1
0,0.56,30,4,0,6,9999.900391,-2199.20015,-478.0288015,1,1,1
0,0.56,30,4,0,6,9999.900391,-9824.588379,-530.2432463,1,1,1
