,Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Lidar,Label(Ultra),Label(Damage),Label(Distance),Label(Lidar)
0,0.0,0.07,46.0,8.0,1.0,6.0,9999.900391,-29241.12109,-569.1264837,102.9379,1.0,0.0,1.0,1.0
1,0.0,0.08,48.0,10.0,1.0,0.0,9999.900391,-5582.016113,-803.7612867,109.23279,1.0,1.0,0.0,1.0
2,0.0,0.13,20.0,2.0,0.0,6.0,9999.900391,-0.013255564,-513.3379926,69.903694,1.0,1.0,1.0,1.0
3,0.0,0.28,41.0,3.0,1.0,2.0,9999.900391,-16590.72852,-593.6711406,103.80146,1.0,0.0,1.0,1.0
4,0.0,0.34,41.0,5.0,0.0,6.0,4.249081135,-19206.24609,-673.4295334,109.31931,0.0,0.0,1.0,1.0
5,0.0,0.43,41.0,0.0,1.0,6.0,9999.900391,-2175.985519,-496.4148151,55.31028,1.0,1.0,1.0,0.0
6,0.0,0.44,26.0,10.0,1.0,5.0,9999.900391,-16199.56934,-577.3170612,104.508965,1.0,0.0,1.0,1.0
7,0.0,0.46,49.0,2.0,0.0,4.0,9999.900391,-2243.132706,-477.481368,54.07363,1.0,1.0,1.0,0.0
8,0.0,0.51,20.0,7.0,1.0,4.0,2.229876518,-13202.46582,-629.6002609,108.96687,0.0,0.0,1.0,1.0
9,0.0,0.56,30.0,4.0,0.0,6.0,9999.900391,-14438.93848,-669.4253375,109.21485,1.0,0.0,1.0,1.0
10,0.0,0.61,49.0,3.0,1.0,1.0,2.914797306,-17117.08057,-580.5083164,105.10173,0.0,0.0,1.0,1.0
11,0.0,0.76,20.0,8.0,0.0,6.0,9999.900391,-1.833873868,-509.5816434,67.22071,1.0,1.0,1.0,1.0
12,0.0,0.87,24.0,0.0,0.0,2.0,9999.900391,-1.998641491,-488.5243398,53.62258,1.0,1.0,1.0,0.0
13,0.0,0.87,29.0,1.0,1.0,1.0,9999.900391,-1106.374763,-496.7553027,55.57153,1.0,1.0,1.0,0.0
14,0.0,0.88,33.0,0.0,0.0,2.0,9999.900391,-1166.760132,-471.6068022,47.273872,1.0,1.0,1.0,0.0
15,0.0,0.91,32.0,4.0,0.0,3.0,9999.900391,-6431.015869,-547.61159,100.102745,1.0,1.0,1.0,1.0
16,0.0,0.94,21.0,1.0,1.0,6.0,9999.900391,-0.062943868,-529.3497993,95.20581,1.0,1.0,1.0,1.0
17,0.0,0.94,38.0,3.0,0.0,5.0,9999.900391,-7601.032471,-492.6519043,52.37241,1.0,1.0,1.0,0.0
18,0.0,0.95,46.0,4.0,1.0,3.0,2.671563148,-18039.50586,-612.0274654,105.75044,0.0,0.0,1.0,1.0
19,0.0,0.99,26.0,8.0,1.0,6.0,9999.900391,-16296.85107,-559.5940076,102.73345,1.0,0.0,1.0,1.0
20,1.0,0.03,22.0,10.0,0.0,2.0,9999.900391,-795.3092957,-512.2736663,57.928898,1.0,1.0,1.0,0.0
21,1.0,0.08,43.0,9.0,0.0,6.0,3.753657818,-18566.25488,-583.9055701,99.005775,0.0,0.0,1.0,1.0
22,1.0,0.17,26.0,8.0,0.0,0.0,9999.900391,-74.28296661,-491.4709458,50.808823,1.0,1.0,1.0,0.0
23,1.0,0.17,30.0,2.0,0.0,5.0,3.988739729,-15933.58936,-549.2374766,95.868256,0.0,0.0,1.0,1.0
24,1.0,0.22,36.0,5.0,0.0,2.0,9999.900391,-15415.54785,-685.5585539,109.56539,1.0,0.0,1.0,1.0
25,1.0,0.24,30.0,1.0,0.0,0.0,9999.900391,-2204.727615,-488.3277238,47.38588,1.0,1.0,1.0,0.0
26,1.0,0.24,46.0,0.0,0.0,4.0,9999.900391,-1177.183121,-491.0310403,55.062527,1.0,1.0,1.0,0.0
27,1.0,0.39,45.0,4.0,0.0,2.0,9999.900391,-1265.332275,-503.9699663,53.31169,1.0,1.0,1.0,0.0
28,1.0,0.49,47.0,5.0,1.0,3.0,9999.900391,-24946.30664,-592.0219582,104.28909,1.0,0.0,1.0,1.0
29,1.0,0.56,49.0,6.0,1.0,4.0,9999.900391,-14665.32031,-694.253318,109.40638,1.0,0.0,1.0,1.0
30,1.0,0.65,44.0,10.0,1.0,1.0,4.758877754,-25709.20898,-675.4100633,109.84393,0.0,0.0,1.0,1.0
31,1.0,0.66,44.0,8.0,0.0,6.0,3.475777388,-16382.23535,-690.7359846,109.23652,0.0,0.0,1.0,1.0
32,1.0,0.74,25.0,1.0,1.0,6.0,9999.900391,-1011.209273,-521.118077,62.986053,1.0,1.0,1.0,0.0
33,1.0,0.82,41.0,7.0,0.0,3.0,9999.900391,-2300.606903,-495.0807437,54.614147,1.0,1.0,1.0,0.0
34,1.0,0.91,40.0,2.0,1.0,1.0,9999.900391,-16753.13525,-562.8922891,100.125046,1.0,0.0,1.0,1.0
35,1.0,0.94,26.0,1.0,1.0,5.0,9999.900391,-1009.826471,-518.5815484,61.211384,1.0,1.0,1.0,0.0
36,1.0,0.94,46.0,4.0,1.0,6.0,2.06709981,-25816.16992,-579.4580263,102.18906,0.0,0.0,1.0,1.0
37,1.0,0.95,24.0,0.0,1.0,5.0,9999.900391,-2.884481668,-527.3349454,67.74495,1.0,1.0,1.0,1.0
38,1.0,0.95,24.0,6.0,0.0,2.0,9999.900391,-9.13110733,-501.6792149,53.738956,1.0,1.0,1.0,0.0
39,2.0,0.01,45.0,2.0,1.0,6.0,2.334790468,-18242.4082,-538.6038909,100.11105,0.0,0.0,1.0,1.0
40,2.0,0.19,40.0,10.0,0.0,4.0,3.212713003,-22389.62793,-627.3075417,109.477425,0.0,0.0,1.0,1.0
41,2.0,0.2,34.0,6.0,0.0,3.0,9999.900391,-13571.73389,-598.4545077,105.57287,1.0,0.0,1.0,1.0
42,2.0,0.23,35.0,5.0,1.0,0.0,9999.900391,-16552.44141,-618.6011223,107.66913,1.0,0.0,1.0,1.0
43,2.0,0.23,38.0,8.0,0.0,5.0,3.870874405,-24359.89063,-537.5318502,100.114075,0.0,0.0,1.0,1.0
44,2.0,0.23,48.0,2.0,0.0,2.0,9999.900391,-2299.50589,-464.5193046,53.779,1.0,1.0,1.0,0.0
45,2.0,0.27,24.0,6.0,0.0,0.0,9999.900391,-68.5300293,-476.0754355,55.231236,1.0,1.0,1.0,0.0
46,2.0,0.28,24.0,8.0,1.0,4.0,2.269670725,-16726.0498,-563.3981235,104.85274,0.0,0.0,1.0,1.0
47,2.0,0.35,27.0,9.0,1.0,0.0,9999.900391,-14469.85742,-670.361921,109.49033,1.0,0.0,1.0,1.0
48,2.0,0.38,29.0,5.0,1.0,3.0,9999.900391,-21402.40137,-532.0409622,100.124535,1.0,0.0,1.0,1.0
49,2.0,0.39,48.0,4.0,0.0,5.0,9999.900391,-11915.21582,-560.2295697,103.03108,1.0,0.0,1.0,1.0
50,2.0,0.4,34.0,6.0,0.0,4.0,9999.900391,-8675.013672,-655.583558,109.75157,1.0,1.0,1.0,1.0
51,2.0,0.43,29.0,9.0,1.0,4.0,9999.900391,-19378.38086,-672.4899265,108.73612,1.0,0.0,1.0,1.0
52,2.0,0.54,45.0,9.0,0.0,2.0,9999.900391,-20694.18359,-559.9286371,102.8249,1.0,0.0,1.0,1.0
53,2.0,0.63,20.0,7.0,1.0,6.0,1.384462595,-13626.07861,-582.3403815,104.0064,0.0,0.0,1.0,1.0
54,2.0,0.65,48.0,7.0,0.0,0.0,9999.900391,-14005.00488,-500.8193698,68.78954,1.0,0.0,1.0,1.0
55,2.0,0.7,21.0,6.0,0.0,0.0,9999.900391,-9001.23877,-667.4642538,109.524475,1.0,1.0,1.0,1.0
