,Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Lidar,Label(Ultra),Label(Damage),Label(Distance),Label(Lidar)
0,0.0,0.07,46.0,8.0,1.0,6.0,9999.900391,-16888.49316,-606.267298,105.7245,1.0,0.0,1.0,1.0
1,0.0,0.08,48.0,10.0,1.0,0.0,9999.900391,-9485.648682,-688.3074651,109.82646,1.0,1.0,1.0,1.0
2,0.0,0.13,20.0,2.0,0.0,6.0,9999.900391,-0.014615644,-513.4064011,70.54557,1.0,1.0,1.0,1.0
3,0.0,0.28,41.0,3.0,1.0,2.0,9999.900391,-17212.16992,-566.2775176,103.63716,1.0,0.0,1.0,1.0
4,0.0,0.34,41.0,5.0,0.0,6.0,9999.900391,-2368.24527,-475.6871617,53.517357,1.0,1.0,1.0,0.0
5,0.0,0.43,41.0,0.0,1.0,6.0,9999.900391,-2176.696899,-497.0531976,56.286476,1.0,1.0,1.0,0.0
6,0.0,0.44,26.0,10.0,1.0,5.0,9999.900391,-18234.68359,-535.6820403,98.08256,1.0,0.0,1.0,1.0
7,0.0,0.46,49.0,2.0,0.0,4.0,9999.900391,-2238.018753,-476.5080267,52.777916,1.0,1.0,1.0,0.0
8,0.0,0.51,20.0,7.0,1.0,4.0,4.517493725,-2501.725586,-802.7242715,109.3713,0.0,1.0,0.0,1.0
9,0.0,0.56,30.0,4.0,0.0,6.0,9999.900391,-2199.20015,-478.0288015,53.79564,1.0,1.0,1.0,0.0
10,0.0,0.61,49.0,3.0,1.0,1.0,1.897901058,-25217.32031,-557.5903651,100.178925,0.0,0.0,1.0,1.0
11,0.0,0.76,20.0,8.0,0.0,6.0,9999.900391,-27.05925941,-511.8406607,68.56883,1.0,1.0,1.0,1.0
12,0.0,0.87,24.0,0.0,0.0,2.0,9999.900391,-2.007713556,-488.7708788,56.33133,1.0,1.0,1.0,0.0
13,0.0,0.87,29.0,1.0,1.0,1.0,9999.900391,-1106.543335,-498.0705251,57.116726,1.0,1.0,1.0,0.0
14,0.0,0.88,33.0,0.0,0.0,2.0,9999.900391,-1161.987442,-475.5962928,53.570118,1.0,1.0,1.0,0.0
15,0.0,0.91,32.0,4.0,0.0,3.0,9999.900391,-2317.576141,-472.423003,47.520317,1.0,1.0,1.0,0.0
16,0.0,0.94,21.0,1.0,1.0,6.0,9999.900391,-0.062010523,-533.6881761,98.42717,1.0,1.0,1.0,1.0
17,0.0,0.94,38.0,3.0,0.0,5.0,9999.900391,-20290.17578,-508.8530561,67.322075,1.0,0.0,1.0,1.0
18,0.0,0.95,46.0,4.0,1.0,3.0,1.085154176,-29408.8125,-563.7420257,102.67016,0.0,0.0,1.0,1.0
19,0.0,0.99,26.0,8.0,1.0,6.0,2.366818428,-16946.52832,-660.6011476,109.145485,0.0,0.0,1.0,1.0
20,1.0,0.03,22.0,10.0,0.0,2.0,9999.900391,-8724.648438,-536.2053016,75.8262,1.0,1.0,1.0,1.0
21,1.0,0.08,43.0,9.0,0.0,6.0,9999.900391,-17055.7666,-546.4027384,94.66233,1.0,0.0,1.0,1.0
22,1.0,0.17,26.0,8.0,0.0,0.0,4.411398888,-13488.29053,-690.7584946,109.823006,0.0,0.0,1.0,1.0
23,1.0,0.17,30.0,2.0,0.0,5.0,9999.900391,-2835.0979,-525.0750591,65.51315,1.0,1.0,1.0,1.0
24,1.0,0.22,36.0,5.0,0.0,2.0,9999.900391,-12967.88477,-524.877973,66.72658,1.0,0.0,1.0,1.0
25,1.0,0.24,30.0,1.0,0.0,0.0,9999.900391,-2215.712143,-488.9827165,47.798435,1.0,1.0,1.0,0.0
26,1.0,0.24,46.0,0.0,0.0,4.0,9999.900391,-1230.483612,-492.5784318,53.901096,1.0,1.0,1.0,0.0
27,1.0,0.39,45.0,4.0,0.0,2.0,3.967544556,-21663.96582,-550.6065211,98.0517,0.0,0.0,1.0,1.0
28,1.0,0.49,47.0,5.0,1.0,3.0,9999.900391,-20178.23242,-584.1979239,103.35398,1.0,0.0,1.0,1.0
29,1.0,0.56,49.0,6.0,1.0,4.0,9999.900391,-8308.113525,-715.5303205,109.15614,1.0,1.0,0.0,1.0
30,1.0,0.65,44.0,10.0,1.0,1.0,3.299542189,-19319.66406,-691.391948,109.5517,0.0,0.0,1.0,1.0
31,1.0,0.66,44.0,8.0,0.0,6.0,4.251912117,-22417.86621,-688.2896574,109.2544,0.0,0.0,1.0,1.0
32,1.0,0.74,25.0,1.0,1.0,6.0,9999.900391,-1009.549386,-521.7152628,63.530552,1.0,1.0,1.0,0.0
33,1.0,0.82,41.0,7.0,0.0,3.0,9999.900391,-2239.46431,-492.9615536,51.98387,1.0,1.0,1.0,0.0
34,1.0,0.91,40.0,2.0,1.0,1.0,2.693416834,-10493.44434,-538.9318568,78.048996,0.0,1.0,1.0,1.0
35,1.0,0.94,26.0,1.0,1.0,5.0,9999.900391,-1011.764981,-518.3339522,60.851772,1.0,1.0,1.0,0.0
36,1.0,0.94,46.0,4.0,1.0,6.0,2.421174765,-19444.62598,-552.9466452,100.11357,0.0,0.0,1.0,1.0
37,1.0,0.95,24.0,0.0,1.0,5.0,9999.900391,-3.006170034,-528.3755515,67.55936,1.0,1.0,1.0,1.0
38,1.0,0.95,24.0,6.0,0.0,2.0,9999.900391,-1.991495848,-504.2132487,53.51939,1.0,1.0,1.0,0.0
39,2.0,0.01,45.0,2.0,1.0,6.0,9999.900391,-16837.44678,-533.3914853,100.12235,1.0,0.0,1.0,1.0
40,2.0,0.19,40.0,10.0,0.0,4.0,3.923696995,-36674.9043,-545.0726024,100.19672,0.0,0.0,1.0,1.0
41,2.0,0.2,34.0,6.0,0.0,3.0,9999.900391,-15348.24902,-585.714822,103.65564,1.0,0.0,1.0,1.0
42,2.0,0.23,35.0,5.0,1.0,0.0,9999.900391,-16952.70605,-587.7975468,104.97598,1.0,0.0,1.0,1.0
43,2.0,0.23,38.0,8.0,0.0,5.0,9999.900391,-19753.2832,-579.8916785,103.85341,1.0,0.0,1.0,1.0
44,2.0,0.23,48.0,2.0,0.0,2.0,9999.900391,-18148.39648,-504.8784262,72.33254,1.0,0.0,1.0,1.0
45,2.0,0.27,24.0,6.0,0.0,0.0,9999.900391,-44.43289566,-476.7650742,53.66144,1.0,1.0,1.0,0.0
46,2.0,0.28,24.0,8.0,1.0,4.0,9999.900391,-62383.44141,-575.2160871,104.0155,1.0,0.0,1.0,1.0
47,2.0,0.35,27.0,9.0,1.0,0.0,2.533688784,-19923.07227,-572.2307152,104.2328,0.0,0.0,1.0,1.0
48,2.0,0.38,29.0,5.0,1.0,3.0,2.349254131,-25963.75586,-551.0496897,101.94514,0.0,0.0,1.0,1.0
49,2.0,0.39,48.0,4.0,0.0,5.0,9999.900391,-14724.34717,-522.2466779,99.830795,1.0,0.0,1.0,1.0
50,2.0,0.4,34.0,6.0,0.0,4.0,9999.900391,-19661.63965,-663.3221756,109.76859,1.0,0.0,1.0,1.0
51,2.0,0.43,29.0,9.0,1.0,4.0,9999.900391,-14594.71143,-681.6333139,109.32588,1.0,0.0,1.0,1.0
52,2.0,0.54,45.0,9.0,0.0,2.0,9999.900391,-16831.30957,-514.6653927,79.51768,1.0,0.0,1.0,1.0
53,2.0,0.63,20.0,7.0,1.0,6.0,2.137129784,-16696.88232,-573.982002,104.67513,0.0,0.0,1.0,1.0
54,2.0,0.65,48.0,7.0,0.0,0.0,9999.900391,-19032.44336,-663.6206474,109.33068,1.0,0.0,1.0,1.0
55,2.0,0.7,21.0,6.0,0.0,0.0,9999.900391,-9564.416016,-536.5737682,100.12477,1.0,1.0,1.0,1.0
56,2.0,0.71,23.0,7.0,1.0,1.0,9999.900391,-14204.30664,-641.7450077,109.54907,1.0,0.0,1.0,1.0
