,Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Lidar,Label(Ultra),Label(Damage),Label(Distance),Label(Lidar)
0,0.0,0.07,46.0,8.0,1.0,6.0,9999.900391,-28007.16602,-559.8658331,101.50491,1.0,0.0,1.0,1.0
1,0.0,0.08,48.0,10.0,1.0,0.0,9999.900391,-14211.99561,-684.6761162,109.67394,1.0,0.0,1.0,1.0
2,0.0,0.13,20.0,2.0,0.0,6.0,9999.900391,-0.013378994,-512.9923672,69.30409,1.0,1.0,1.0,1.0
3,0.0,0.28,41.0,3.0,1.0,2.0,9999.900391,-17047.89209,-609.7485464,106.05643,1.0,0.0,1.0,1.0
4,0.0,0.34,41.0,5.0,0.0,6.0,3.013288021,-19838.5625,-532.2615506,97.58561,0.0,0.0,1.0,1.0
5,0.0,0.43,41.0,0.0,1.0,6.0,9999.900391,-2179.085358,-496.337525,54.825966,1.0,1.0,1.0,0.0
6,0.0,0.44,26.0,10.0,1.0,5.0,4.753583908,-22350.2998,-581.6466632,104.51659,0.0,0.0,1.0,1.0
7,0.0,0.46,49.0,2.0,0.0,4.0,9999.900391,-11925.48389,-519.301029,74.17638,1.0,0.0,1.0,1.0
8,0.0,0.51,20.0,7.0,1.0,4.0,9999.900391,-12586.8916,-666.1838616,94.68981,1.0,0.0,1.0,1.0
9,0.0,0.56,30.0,4.0,0.0,6.0,9999.900391,-12974.35107,-556.3913256,99.612206,1.0,0.0,1.0,1.0
10,0.0,0.61,49.0,3.0,1.0,1.0,9999.900391,-17591.11426,-607.0533591,106.15905,1.0,0.0,1.0,1.0
11,0.0,0.76,20.0,8.0,0.0,6.0,9999.900391,-19876.05566,-555.0347621,100.12283,1.0,0.0,1.0,1.0
12,0.0,0.87,24.0,0.0,0.0,2.0,9999.900391,-1.999666095,-488.140856,53.82985,1.0,1.0,1.0,0.0
13,0.0,0.87,29.0,1.0,1.0,1.0,9999.900391,-2167.212799,-499.2769181,57.664474,1.0,1.0,1.0,0.0
14,0.0,0.88,33.0,0.0,0.0,2.0,9999.900391,-2237.414505,-474.0239856,54.68234,1.0,1.0,1.0,0.0
15,0.0,0.91,32.0,4.0,0.0,3.0,4.763644218,-20102.39648,-546.4475647,99.37093,0.0,0.0,1.0,1.0
16,0.0,0.94,21.0,1.0,1.0,6.0,9999.900391,-0.058647119,-532.9596966,99.1716,1.0,1.0,1.0,1.0
17,0.0,0.94,38.0,3.0,0.0,5.0,9999.900391,-1176.361221,-474.9700542,53.617653,1.0,1.0,1.0,0.0
18,0.0,0.95,46.0,4.0,1.0,3.0,1.003487945,-28166.30273,-575.1827026,104.45092,0.0,0.0,1.0,1.0
19,0.0,0.99,26.0,8.0,1.0,6.0,2.31298852,-25670.50195,-568.9812929,102.90708,0.0,0.0,1.0,1.0
20,1.0,0.03,22.0,10.0,0.0,2.0,3.6672194,-17098.32617,-597.8146789,104.34359,0.0,0.0,1.0,1.0
21,1.0,0.08,43.0,9.0,0.0,6.0,9999.900391,-13664.94727,-784.6703262,109.14026,1.0,0.0,0.0,1.0
22,1.0,0.17,26.0,8.0,0.0,0.0,9999.900391,-90.02857971,-492.4341538,51.123432,1.0,1.0,1.0,0.0
23,1.0,0.17,30.0,2.0,0.0,5.0,9999.900391,-20589.34277,-545.8649263,94.701256,1.0,0.0,1.0,1.0
24,1.0,0.22,36.0,5.0,0.0,2.0,9999.900391,-16826.98145,-553.4948857,99.30402,1.0,0.0,1.0,1.0
25,1.0,0.24,30.0,1.0,0.0,0.0,9999.900391,-2200.906311,-492.4176021,51.259846,1.0,1.0,1.0,0.0
26,1.0,0.24,46.0,0.0,0.0,4.0,9999.900391,-1161.069473,-488.9007501,47.70909,1.0,1.0,1.0,0.0
27,1.0,0.39,45.0,4.0,0.0,2.0,9999.900391,-30342.17578,-543.5389965,94.56431,1.0,0.0,1.0,1.0
28,1.0,0.49,47.0,5.0,1.0,3.0,1.932495117,-36801.21875,-581.1352452,102.33839,0.0,0.0,1.0,1.0
29,1.0,0.56,49.0,6.0,1.0,4.0,9999.900391,-20067.18164,-597.7354417,104.22909,1.0,0.0,1.0,1.0
30,1.0,0.65,44.0,10.0,1.0,1.0,9999.900391,-15649.48242,-678.7269668,109.5938,1.0,0.0,1.0,1.0
31,1.0,0.66,44.0,8.0,0.0,6.0,4.721474171,-22247.78027,-641.1646842,107.49516,0.0,0.0,1.0,1.0
32,1.0,0.74,25.0,1.0,1.0,6.0,9999.900391,-1009.065384,-523.350533,64.705154,1.0,1.0,1.0,0.0
33,1.0,0.82,41.0,7.0,0.0,3.0,9999.900391,-17798.02441,-513.8927046,58.7339,1.0,0.0,1.0,0.0
34,1.0,0.91,40.0,2.0,1.0,1.0,1.999426126,-24216.87793,-573.0682852,100.31917,0.0,0.0,1.0,1.0
35,1.0,0.94,26.0,1.0,1.0,5.0,9999.900391,-1010.343996,-517.6113409,60.156116,1.0,1.0,1.0,0.0
36,1.0,0.94,46.0,4.0,1.0,6.0,9999.900391,-25606.79688,-576.210921,101.33952,1.0,0.0,1.0,1.0
37,1.0,0.95,24.0,0.0,1.0,5.0,9999.900391,-2.774129629,-528.4205662,68.81755,1.0,1.0,1.0,1.0
38,1.0,0.95,24.0,6.0,0.0,2.0,9999.900391,-11521.90527,-679.1970997,109.24124,1.0,0.0,1.0,1.0
