,Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Lidar,Label(Ultra),Label(Damage),Label(Distance),Label(Lidar)
0,0.0,0.07,46.0,8.0,1.0,6.0,9999.900391,-17063.67188,-547.3799048,100.1336,1.0,0.0,1.0,1.0
1,0.0,0.08,48.0,10.0,1.0,0.0,4.752848625,-16349.76514,-652.6867907,109.26875,0.0,0.0,1.0,1.0
2,0.0,0.13,20.0,2.0,0.0,6.0,9999.900391,-0.014642703,-513.4130994,69.84187,1.0,1.0,1.0,1.0
3,0.0,0.28,41.0,3.0,1.0,2.0,9999.900391,-84854.82813,-560.6710834,101.80797,1.0,0.0,1.0,1.0
4,0.0,0.34,41.0,5.0,0.0,6.0,4.351124763,-9112.335449,-793.2866407,109.34304,0.0,1.0,0.0,1.0
5,0.0,0.43,41.0,0.0,1.0,6.0,9999.900391,-2173.741043,-496.068398,55.187767,1.0,1.0,1.0,0.0
6,0.0,0.44,26.0,10.0,1.0,5.0,9999.900391,-16121.20508,-572.4942409,104.56559,1.0,0.0,1.0,1.0
7,0.0,0.46,49.0,2.0,0.0,4.0,9999.900391,-1161.078201,-474.9931635,53.3565,1.0,1.0,1.0,0.0
8,0.0,0.51,20.0,7.0,1.0,4.0,9999.900391,-13499.10547,-650.9792895,109.41614,1.0,0.0,1.0,1.0
9,0.0,0.56,30.0,4.0,0.0,6.0,4.907334328,-16183.78906,-671.7203595,109.16655,0.0,0.0,1.0,1.0
10,0.0,0.61,49.0,3.0,1.0,1.0,9999.900391,-21456.16016,-558.5256697,100.36888,1.0,0.0,1.0,1.0
11,0.0,0.76,20.0,8.0,0.0,6.0,9999.900391,-31.51516724,-513.0111005,69.92595,1.0,1.0,1.0,1.0
12,0.0,0.87,24.0,0.0,0.0,2.0,9999.900391,-1.974264026,-488.3738345,53.654408,1.0,1.0,1.0,0.0
13,0.0,0.87,29.0,1.0,1.0,1.0,9999.900391,-1105.034775,-498.9139647,57.4334,1.0,1.0,1.0,0.0
14,0.0,0.88,33.0,0.0,0.0,2.0,9999.900391,-2187.856079,-475.5092105,53.185093,1.0,1.0,1.0,0.0
15,0.0,0.91,32.0,4.0,0.0,3.0,9999.900391,-1166.808548,-473.5133977,54.61422,1.0,1.0,1.0,0.0
16,0.0,0.94,21.0,1.0,1.0,6.0,9999.900391,-0.053477656,-531.7211082,96.05055,1.0,1.0,1.0,1.0
17,0.0,0.94,38.0,3.0,0.0,5.0,9999.900391,-1167.09877,-474.0418528,54.635483,1.0,1.0,1.0,0.0
18,0.0,0.95,46.0,4.0,1.0,3.0,9999.900391,-2031.78479,-802.3122558,109.83559,1.0,1.0,0.0,1.0
19,0.0,0.99,26.0,8.0,1.0,6.0,1.65540731,-17247.78418,-570.1817601,102.81291,0.0,0.0,1.0,1.0
20,1.0,0.03,22.0,10.0,0.0,2.0,3.799573421,-14077.8418,-620.2811564,106.29998,0.0,0.0,1.0,1.0
21,1.0,0.08,43.0,9.0,0.0,6.0,9999.900391,-17164.92285,-510.7414473,54.1819,1.0,0.0,1.0,0.0
22,1.0,0.17,26.0,8.0,0.0,0.0,9999.900391,-5.669357777,-493.6547423,52.15066,1.0,1.0,1.0,0.0
