,Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Lidar,Label(Ultra),Label(Damage),Label(Distance),Label(Lidar)
0,0.0,0.07,46.0,8.0,1.0,6.0,9999.900391,-15062.90479,-602.6456267,105.995705,1.0,0.0,1.0,1.0
1,0.0,0.08,48.0,10.0,1.0,0.0,9999.900391,-5181.965576,-796.1344498,109.78643,1.0,1.0,0.0,1.0
2,0.0,0.13,20.0,2.0,0.0,6.0,9999.900391,-0.015508008,-513.1669384,69.45067,1.0,1.0,1.0,1.0
3,0.0,0.28,41.0,3.0,1.0,2.0,2.748414278,-37494.05078,-561.2586134,102.141716,0.0,0.0,1.0,1.0
4,0.0,0.34,41.0,5.0,0.0,6.0,9999.900391,-2276.880127,-474.7619033,53.674812,1.0,1.0,1.0,0.0
5,0.0,0.43,41.0,0.0,1.0,6.0,9999.900391,-1107.985733,-496.9474724,55.490944,1.0,1.0,1.0,0.0
6,0.0,0.44,26.0,10.0,1.0,5.0,2.75088048,-20513.47168,-589.8831321,104.04364,0.0,0.0,1.0,1.0
7,0.0,0.46,49.0,2.0,0.0,4.0,9999.900391,-1181.59787,-476.8359435,51.972237,1.0,1.0,1.0,0.0
8,0.0,0.51,20.0,7.0,1.0,4.0,9999.900391,-13478.25879,-681.7070864,109.76652,1.0,0.0,1.0,1.0
9,0.0,0.56,30.0,4.0,0.0,6.0,9999.900391,-5291.116943,-478.0890393,54.447422,1.0,1.0,1.0,0.0
10,0.0,0.61,49.0,3.0,1.0,1.0,9999.900391,-17379.17188,-594.5506384,104.16086,1.0,0.0,1.0,1.0
11,0.0,0.76,20.0,8.0,0.0,6.0,9999.900391,-0.014680146,-509.799561,66.93475,1.0,1.0,1.0,1.0
12,0.0,0.87,24.0,0.0,0.0,2.0,9999.900391,-1.972130418,-488.617256,53.694324,1.0,1.0,1.0,0.0
13,0.0,0.87,29.0,1.0,1.0,1.0,9999.900391,-1103.43808,-497.4917324,56.342155,1.0,1.0,1.0,0.0
14,0.0,0.88,33.0,0.0,0.0,2.0,9999.900391,-1176.537292,-476.1452211,53.612362,1.0,1.0,1.0,0.0
15,0.0,0.91,32.0,4.0,0.0,3.0,9999.900391,-19655.17188,-552.7571575,99.05488,1.0,0.0,1.0,1.0
16,0.0,0.94,21.0,1.0,1.0,6.0,9999.900391,-0.058855575,-532.6664524,98.2933,1.0,1.0,1.0,1.0
17,0.0,0.94,38.0,3.0,0.0,5.0,9999.900391,-19310.46582,-555.8455196,100.11968,1.0,0.0,1.0,1.0
18,0.0,0.95,46.0,4.0,1.0,3.0,9999.900391,-2175.499908,-497.1514272,56.356308,1.0,1.0,1.0,0.0
19,0.0,0.99,26.0,8.0,1.0,6.0,4.960582256,-39403.11719,-576.8084606,104.540245,0.0,0.0,1.0,1.0
20,1.0,0.03,22.0,10.0,0.0,2.0,9999.900391,-0.071216762,-509.9745643,62.006554,1.0,1.0,1.0,0.0
21,1.0,0.08,43.0,9.0,0.0,6.0,4.381708622,-6908.529053,-771.0076657,109.159935,0.0,1.0,0.0,1.0
22,1.0,0.17,26.0,8.0,0.0,0.0,9999.900391,-14722.23926,-594.0395686,104.117096,1.0,0.0,1.0,1.0
23,1.0,0.17,30.0,2.0,0.0,5.0,4.007661343,-19083.86816,-555.1346291,100.10841,0.0,0.0,1.0,1.0
24,1.0,0.22,36.0,5.0,0.0,2.0,9999.900391,-17546.00879,-560.0702697,100.11103,1.0,0.0,1.0,1.0
25,1.0,0.24,30.0,1.0,0.0,0.0,9999.900391,-2204.805389,-485.1329723,45.838055,1.0,1.0,1.0,0.0
26,1.0,0.24,46.0,0.0,0.0,4.0,9999.900391,-2238.786301,-492.2860088,51.377285,1.0,1.0,1.0,0.0
27,1.0,0.39,45.0,4.0,0.0,2.0,9999.900391,-2336.31427,-492.7416135,51.028168,1.0,1.0,1.0,0.0
28,1.0,0.49,47.0,5.0,1.0,3.0,9999.900391,-31897.25,-582.6984211,102.42626,1.0,0.0,1.0,1.0
29,1.0,0.56,49.0,6.0,1.0,4.0,9999.900391,-11401.66504,-651.3416283,109.35721,1.0,0.0,1.0,1.0
30,1.0,0.65,44.0,10.0,1.0,1.0,4.939138889,-10130.14502,-710.4809103,109.156845,0.0,1.0,0.0,1.0
31,1.0,0.66,44.0,8.0,0.0,6.0,9999.900391,-8651.329651,-707.1070124,109.293106,1.0,1.0,0.0,1.0
32,1.0,0.74,25.0,1.0,1.0,6.0,9999.900391,-1010.195105,-522.6788759,64.446014,1.0,1.0,1.0,0.0
33,1.0,0.82,41.0,7.0,0.0,3.0,9999.900391,-19340.64258,-546.156636,97.4507,1.0,0.0,1.0,1.0
34,1.0,0.91,40.0,2.0,1.0,1.0,9999.900391,-6262.639893,-531.3902816,70.96884,1.0,1.0,1.0,1.0
35,1.0,0.94,26.0,1.0,1.0,5.0,9999.900391,-1009.066643,-518.0792527,60.4569,1.0,1.0,1.0,0.0
36,1.0,0.94,46.0,4.0,1.0,6.0,9999.900391,-15794.80566,-650.51967,109.19569,1.0,0.0,1.0,1.0
37,1.0,0.95,24.0,0.0,1.0,5.0,9999.900391,-2.906173468,-525.6415508,66.14385,1.0,1.0,1.0,1.0
38,1.0,0.95,24.0,6.0,0.0,2.0,9999.900391,-8247.896484,-624.6051335,106.09413,1.0,1.0,1.0,1.0
39,2.0,0.01,45.0,2.0,1.0,6.0,9999.900391,-18884.76367,-529.6391884,100.122215,1.0,0.0,1.0,1.0
40,2.0,0.19,40.0,10.0,0.0,4.0,9999.900391,-1230.382828,-474.8139164,51.986076,1.0,1.0,1.0,0.0
41,2.0,0.2,34.0,6.0,0.0,3.0,9999.900391,-6390.072327,-474.1707589,54.32071,1.0,1.0,1.0,0.0
42,2.0,0.23,35.0,5.0,1.0,0.0,1.720294952,-27900.26172,-550.846831,102.17201,0.0,0.0,1.0,1.0
43,2.0,0.23,38.0,8.0,0.0,5.0,3.077481985,-18164.53613,-557.0650212,99.83236,0.0,0.0,1.0,1.0
44,2.0,0.23,48.0,2.0,0.0,2.0,9999.900391,-1175.544678,-465.0358035,53.603146,1.0,1.0,1.0,0.0
45,2.0,0.27,24.0,6.0,0.0,0.0,9999.900391,-33.85574341,-475.8791513,53.249012,1.0,1.0,1.0,0.0
46,2.0,0.28,24.0,8.0,1.0,4.0,3.313434362,-14537.86963,-613.0432396,107.41318,0.0,0.0,1.0,1.0
47,2.0,0.35,27.0,9.0,1.0,0.0,9999.900391,-15265.20752,-649.7499401,109.4689,1.0,0.0,1.0,1.0
48,2.0,0.38,29.0,5.0,1.0,3.0,9999.900391,-22706.06738,-548.0473938,101.064896,1.0,0.0,1.0,1.0
49,2.0,0.39,48.0,4.0,0.0,5.0,9999.900391,-2419.641541,-464.5551882,55.160854,1.0,1.0,1.0,0.0
50,2.0,0.4,34.0,6.0,0.0,4.0,9999.900391,-15317.05469,-540.4838146,100.12474,1.0,0.0,1.0,1.0
51,2.0,0.43,29.0,9.0,1.0,4.0,9999.900391,-17305.70703,-651.7572061,109.203026,1.0,0.0,1.0,1.0
52,2.0,0.54,45.0,9.0,0.0,2.0,9999.900391,-21418.49414,-539.0124771,99.98583,1.0,0.0,1.0,1.0
53,2.0,0.63,20.0,7.0,1.0,6.0,4.604687691,-12523.27759,-660.4635872,109.27693,0.0,0.0,1.0,1.0
54,2.0,0.65,48.0,7.0,0.0,0.0,9999.900391,-1837.158203,-472.7249922,54.10851,1.0,1.0,1.0,0.0
55,2.0,0.7,21.0,6.0,0.0,0.0,9999.900391,-4688.007202,-688.1569995,109.207756,1.0,1.0,1.0,1.0
56,2.0,0.71,23.0,7.0,1.0,1.0,9999.900391,-13677.19434,-625.5345367,109.20183,1.0,0.0,1.0,1.0
57,2.0,0.85,42.0,7.0,1.0,4.0,2.883796453,-17236.52832,-539.2599197,100.123955,0.0,0.0,1.0,1.0
58,2.0,0.89,22.0,6.0,1.0,0.0,9999.900391,-13348.44238,-661.9925485,109.549164,1.0,0.0,1.0,1.0
59,3.0,0.04,34.0,10.0,1.0,2.0,1.862648368,-25880.19141,-1052.44798,101.21864,0.0,0.0,0.0,1.0
60,3.0,0.07,42.0,1.0,1.0,4.0,9999.900391,-2181.428894,-1014.151066,58.87055,1.0,1.0,0.0,0.0
61,3.0,0.09,43.0,3.0,1.0,0.0,9999.900391,-5483.505005,-1188.259394,109.55398,1.0,1.0,0.0,1.0
62,3.0,0.11,32.0,2.0,0.0,5.0,9999.900391,-8560.000977,-1128.575006,109.19847,1.0,1.0,0.0,1.0
63,3.0,0.11,38.0,0.0,0.0,5.0,9999.900391,-2241.31221,-997.8140605,50.75826,1.0,1.0,0.0,0.0
64,3.0,0.13,31.0,8.0,1.0,3.0,9999.900391,-6580.136963,-1146.951523,109.78904,1.0,1.0,0.0,1.0
65,3.0,0.15,33.0,4.0,1.0,5.0,9999.900391,-17735.11816,-1094.844895,107.29501,1.0,0.0,0.0,1.0
66,3.0,0.23,29.0,9.0,0.0,1.0,3.856684923,-22132.66016,-1046.14218,100.11939,0.0,0.0,0.0,1.0
67,3.0,0.24,47.0,9.0,0.0,4.0,9999.900391,-14958.0625,-1084.595391,105.55428,1.0,0.0,0.0,1.0
68,3.0,0.3,21.0,1.0,1.0,6.0,9999.900391,-0.057298232,-1037.323217,99.96306,1.0,1.0,0.0,1.0
69,3.0,0.3,26.0,10.0,1.0,2.0,9999.900391,-16279.96338,-1101.875583,109.34578,1.0,0.0,0.0,1.0
70,3.0,0.33,48.0,9.0,0.0,5.0,9999.900391,-12209.29346,-1065.050358,104.071175,1.0,0.0,0.0,1.0
71,3.0,0.37,20.0,9.0,0.0,1.0,9999.900391,-15305.48389,-1107.7761,109.188225,1.0,0.0,0.0,1.0
72,3.0,0.39,31.0,7.0,0.0,0.0,9999.900391,-15963.0293,-1039.046172,99.378204,1.0,0.0,0.0,1.0
73,3.0,0.41,20.0,3.0,1.0,5.0,9999.900391,-0.000106695,-1044.277319,100.10914,1.0,1.0,0.0,1.0
74,3.0,0.53,48.0,10.0,1.0,4.0,9999.900391,-8466.946747,-1155.686333,109.331825,1.0,1.0,0.0,1.0
75,3.0,0.67,49.0,0.0,1.0,4.0,9999.900391,-2172.962601,-1015.67974,56.782444,1.0,1.0,0.0,0.0
76,3.0,0.7,28.0,4.0,1.0,4.0,3.256966591,-28911.90234,-1053.937727,102.09075,0.0,0.0,0.0,1.0
77,3.0,0.74,43.0,1.0,0.0,5.0,9999.900391,-1147.580994,-988.9260291,46.10545,1.0,1.0,0.0,0.0
78,3.0,0.75,33.0,9.0,1.0,6.0,1.79244864,-37738.76953,-1065.538761,104.47495,0.0,0.0,0.0,1.0
79,3.0,0.76,43.0,10.0,0.0,6.0,9999.900391,-18991.76758,-1069.966188,104.310684,1.0,0.0,0.0,1.0
80,3.0,0.8,39.0,0.0,0.0,6.0,9999.900391,-1173.530869,-997.489286,51.705208,1.0,1.0,0.0,0.0
81,3.0,0.82,37.0,5.0,0.0,6.0,9999.900391,-13991.32813,-1026.130668,72.41575,1.0,0.0,0.0,1.0
