,Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Lidar,Label(Ultra),Label(Damage),Label(Distance),Label(Lidar)
0,0.0,0.07,46.0,8.0,1.0,6.0,2.719786406,-15570.17432,-657.0255175,109.14683,0.0,0.0,1.0,1.0
1,0.0,0.08,48.0,10.0,1.0,0.0,9999.900391,-23054.61816,-658.2156821,109.84059,1.0,0.0,1.0,1.0
2,0.0,0.13,20.0,2.0,0.0,6.0,9999.900391,-0.014295871,-512.3335121,68.79947,1.0,1.0,1.0,1.0
3,0.0,0.28,41.0,3.0,1.0,2.0,9999.900391,-23830.57617,-537.6587802,100.10787,1.0,0.0,1.0,1.0
4,0.0,0.34,41.0,5.0,0.0,6.0,9999.900391,-15637.63672,-540.8395039,100.10563,1.0,0.0,1.0,1.0
5,0.0,0.43,41.0,0.0,1.0,6.0,9999.900391,-2178.366638,-497.9949232,56.152336,1.0,1.0,1.0,0.0
6,0.0,0.44,26.0,10.0,1.0,5.0,2.97064662,-33032.40625,-579.3880604,104.60944,0.0,0.0,1.0,1.0
7,0.0,0.46,49.0,2.0,0.0,4.0,9999.900391,-28746.50977,-570.8584552,102.64461,1.0,0.0,1.0,1.0
8,0.0,0.51,20.0,7.0,1.0,4.0,3.038333654,-13053.69385,-577.1972917,104.4238,0.0,0.0,1.0,1.0
9,0.0,0.56,30.0,4.0,0.0,6.0,9999.900391,-9824.588379,-530.2432463,94.61697,1.0,1.0,1.0,1.0
10,0.0,0.61,49.0,3.0,1.0,1.0,9999.900391,-17484.21875,-574.4145331,104.31311,1.0,0.0,1.0,1.0
11,0.0,0.76,20.0,8.0,0.0,6.0,9999.900391,-80.04878235,-510.6678377,67.227516,1.0,1.0,1.0,1.0
12,0.0,0.87,24.0,0.0,0.0,2.0,9999.900391,-1.993250132,-488.8977575,53.62137,1.0,1.0,1.0,0.0
13,0.0,0.87,29.0,1.0,1.0,1.0,9999.900391,-1104.780922,-498.2169276,56.651245,1.0,1.0,1.0,0.0
14,0.0,0.88,33.0,0.0,0.0,2.0,9999.900391,-1172.144867,-474.5119459,53.66096,1.0,1.0,1.0,0.0
15,0.0,0.91,32.0,4.0,0.0,3.0,4.711043835,-26283.26953,-550.3303819,99.926056,0.0,0.0,1.0,1.0
16,0.0,0.94,21.0,1.0,1.0,6.0,9999.900391,-0.062099196,-534.3320145,99.172585,1.0,1.0,1.0,1.0
17,0.0,0.94,38.0,3.0,0.0,5.0,9999.900391,-16524.60742,-519.2208349,73.415695,1.0,0.0,1.0,1.0
18,0.0,0.95,46.0,4.0,1.0,3.0,9999.900391,-31300.56836,-517.3472434,72.13583,1.0,0.0,1.0,1.0
19,0.0,0.99,26.0,8.0,1.0,6.0,2.01460886,-18865.90625,-559.5849229,101.33449,0.0,0.0,1.0,1.0
20,1.0,0.03,22.0,10.0,0.0,2.0,9999.900391,-12945.16211,-668.2176482,109.76606,1.0,0.0,1.0,1.0
21,1.0,0.08,43.0,9.0,0.0,6.0,3.154821396,-17797.49707,-688.9206416,109.41686,0.0,0.0,1.0,1.0
22,1.0,0.17,26.0,8.0,0.0,0.0,9999.900391,-5.89715147,-494.3471289,54.73867,1.0,1.0,1.0,0.0
23,1.0,0.17,30.0,2.0,0.0,5.0,9999.900391,-2200.57402,-492.8416865,50.81468,1.0,1.0,1.0,0.0
24,1.0,0.22,36.0,5.0,0.0,2.0,9999.900391,-18339.84277,-524.0130551,65.47819,1.0,0.0,1.0,1.0
25,1.0,0.24,30.0,1.0,0.0,0.0,9999.900391,-2203.877747,-489.9843636,52.653442,1.0,1.0,1.0,0.0
26,1.0,0.24,46.0,0.0,0.0,4.0,9999.900391,-2238.401367,-492.6378625,51.06439,1.0,1.0,1.0,0.0
27,1.0,0.39,45.0,4.0,0.0,2.0,9999.900391,-2425.318512,-499.3213097,52.134754,1.0,1.0,1.0,0.0
28,1.0,0.49,47.0,5.0,1.0,3.0,9999.900391,-29123.33008,-588.2978212,103.74333,1.0,0.0,1.0,1.0
29,1.0,0.56,49.0,6.0,1.0,4.0,9999.900391,-5719.768066,-819.4709874,109.32202,1.0,1.0,0.0,1.0
30,1.0,0.65,44.0,10.0,1.0,1.0,9999.900391,-5099.046387,-746.6924304,109.550964,1.0,1.0,0.0,1.0
31,1.0,0.66,44.0,8.0,0.0,6.0,9999.900391,-12845.9043,-699.1935831,109.27816,1.0,0.0,1.0,1.0
32,1.0,0.74,25.0,1.0,1.0,6.0,9999.900391,-1008.705914,-521.4894314,63.624977,1.0,1.0,1.0,0.0
33,1.0,0.82,41.0,7.0,0.0,3.0,4.555246353,-13350.2207,-615.453307,104.62161,0.0,0.0,1.0,1.0
34,1.0,0.91,40.0,2.0,1.0,1.0,9999.900391,-2176.781799,-510.1031028,54.639305,1.0,1.0,1.0,0.0
35,1.0,0.94,26.0,1.0,1.0,5.0,9999.900391,-1010.935607,-517.5795387,59.997604,1.0,1.0,1.0,0.0
36,1.0,0.94,46.0,4.0,1.0,6.0,3.165599585,-37070.36133,-578.9414188,102.323715,0.0,0.0,1.0,1.0
37,1.0,0.95,24.0,0.0,1.0,5.0,9999.900391,-2.899878979,-526.8512473,67.1176,1.0,1.0,1.0,1.0
38,1.0,0.95,24.0,6.0,0.0,2.0,9999.900391,-1.976601958,-504.4425825,53.570446,1.0,1.0,1.0,0.0
39,2.0,0.01,45.0,2.0,1.0,6.0,2.03832984,-18033.06348,-533.9266235,100.12423,0.0,0.0,1.0,1.0
40,2.0,0.19,40.0,10.0,0.0,4.0,4.12449646,-17508.94238,-600.2786971,105.84472,0.0,0.0,1.0,1.0
41,2.0,0.2,34.0,6.0,0.0,3.0,4.43776989,-18528.61816,-561.1481603,102.27365,0.0,0.0,1.0,1.0
42,2.0,0.23,35.0,5.0,1.0,0.0,1.345445156,-21595.42676,-531.0914361,100.12259,0.0,0.0,1.0,1.0
43,2.0,0.23,38.0,8.0,0.0,5.0,9999.900391,-16459.35205,-557.7315964,103.20722,1.0,0.0,1.0,1.0
44,2.0,0.23,48.0,2.0,0.0,2.0,9999.900391,-15108.61035,-540.7155212,99.926506,1.0,0.0,1.0,1.0
45,2.0,0.27,24.0,6.0,0.0,0.0,9999.900391,-23070.84863,-566.2391891,104.10034,1.0,0.0,1.0,1.0
46,2.0,0.28,24.0,8.0,1.0,4.0,3.644948244,-17646.14355,-545.24208,100.14695,0.0,0.0,1.0,1.0
47,2.0,0.35,27.0,9.0,1.0,0.0,2.499252081,-20429.45801,-536.2693803,100.114,0.0,0.0,1.0,1.0
48,2.0,0.38,29.0,5.0,1.0,3.0,3.178389549,-24712.77148,-555.1599373,102.5556,0.0,0.0,1.0,1.0
49,2.0,0.39,48.0,4.0,0.0,5.0,9999.900391,-21446.07813,-563.1270657,104.81637,1.0,0.0,1.0,1.0
